,BICCN2_gene_celltype_1_EX,BICCN2_gene_celltype_2_IN,BICCN2_gene_celltype_0_NN,GSE111586_gene_celltype_1_EX,GSE111586_gene_celltype_2_IN,GSE111586_gene_celltype_0_NN,GSE123576_gene_celltype_1_EX,GSE123576_gene_celltype_2_IN,GSE123576_gene_celltype_0_NN,GSE126074_gene_celltype_1_EX,GSE126074_gene_celltype_2_IN,GSE126074_gene_celltype_0_NN,GSE127257_gene_celltype_1_EX,GSE127257_gene_celltype_2_IN,GSE127257_gene_celltype_0_NN,GSE1303990_gene_celltype_1_EX,GSE1303990_gene_celltype_2_IN,GSE1303990_gene_celltype_0_NN
108,Arhgef9,Adcyap1r1,Gm37016,Gm13633,Pknox1,Gm18359,Ccdc33,Gm12524,Fzd7,Cit,Gpr3,Shc4,Tafa2,Dok4,Ddit4,Celf4,Pard3,Usp5
109,Sox5,Srgap2,Gramd3,Pgbd5,Wnk1,Gm48291,Tbr1,Ttc34,Slc38a3,Hspa12a,Pxylp1,Cmtm5,Adcy1,Nomo1,Zfp787,Mettl24,Gm3005,Dhrs3
110,Chn1,Mrps35,Lrp4,Pafah1b2,Smarcal1,Snord88a,Arc,Gng4,Gm26728,Camk1g,Npas3,Phactr4,Crtac1,Sfxn1,Wfikkn2,Ppp2r2c,Snx25,Axin2
111,Gramd1b,Dhx32,Gm31172,Gm23101,Scfd2,Tas2r109,Mapk10,Gm13889,Gm13062,AU023762,Tiam1,Gm42808,Arfgef3,Vstm5,Il21r,Cacna1g,Gm21112,AC132455.1
112,Adgrb2,Uhrf2,Plekhg3,Nlrc5,Ankrd44,Gm45462,Rnf165,Inpp5f,Abca1,Mtcl1,Fam210b,Smox,Sorcs3,Csk,Rnf224,Tub,Zfyve26,Klf15
113,Ndst3,1700054M17Rik,2900040C04Rik,Phldb2,Scn1a,Gm6334,Prkag2,Tmem179,Lpcat2,Shank1,Dpp6,Gpr37l1,Celf1,Tmprss9,Phlpp1,Rprml,Nbea,Nr2e1
114,Tbpl1,Fyn,Car2,Chd6,Bicdl1,Klhl14,Gm35569,Plekha5,Mertk,Pacs1,Adipor1,Msi2,Apba1,Inafm2,Mogat2,Unc5a,Col26a1,4930430O22Rik
115,Unc79,Scrt1,Prkcq,Mbnl2,Pcp4,Gm45639,Neu2,AU040320,Kctd11,Cacna1c,AC154442.1,Bcl10,Prr16,Wipf3,Heyl,Mcf2l,Rttn,Mir6236
116,Adcy1,Cacna2d2,Hip1r,Gm48480,Nkain2,Gm13573,Elfn2,Rbfox2,Epas1,Ptp4a3,Inpp5j,Rab1a,Atp9b,Commd10,Bin2,Ahdc1,Gm2956,Kmt5c
117,Fam160a1,Bcl9,Ghrh,AC140469.1,Tfec,4930583I09Rik,Osbp2,Abr,Tnfrsf1b,Hivep3,Gga1,Fam107a,Kcnk9,Stac,Ppp1r21,Dpf1,Gm15433,Dbi
118,Gm24858,Tnrc18,Gm4675,Map2,Cap1,Gm45366,Inpp4a,Pcare,Adap2os,Trank1,Rhoq,Cnn3,Ksr2,Gprin3,Gng11,Osbp2,Gm3264,Map7d1
119,Dgkz,C230057M02Rik,Zfp710,BC051142,Rgs3,Gm21093,Mras,Osbpl9,Phactr4,Inka2,Ski,Mknk2,Adcy8,Moxd1,Tnfaip6,Pde4a,Vmn1r139,Tcstv3
120,Kctd16,Arl4c,Nat8f4,Lrmda,Mdh1,Gm14036,Olfm1,Nectin2,Zfhx3,Adgrb1,Podxl2,Triobp,Stum,Gfpt2,Kif13b,Rph3a,Zfp979,Tmc7
121,Clasp1,Kit,Dbi,Enox1,Asph,6530437J22Rik,Foxp1,Cpne2,Phgdh,Celf1,Gm23342,Mpzl1,Sh3rf1,Slc6a6,Pik3ap1,Celf5,Svil,1810013L24Rik
122,Pik3c2g,Crhbp,Mir6236,Emsy,Ift80,Gm8204,Syne1,Fgf11,Cpt2,Ptpn3,Cdc42se2,Arrdc2,Syt17,Tll1,Adamts2,Dnal4,Ccser1,Nid2
123,5330438I03Rik,Fam20c,Sec14l5,Rab3ip,Megf11,Gm24260,Fry,AC166654.1,Gm13442,Agpat4,Tmem179,Gm4675,Utp4,Hbegf,Phlda3,Mir670hg,Gm21811,Pantr2
124,Scn2a,Atp1b1,Gm26890,Mir28b,Dlg2,Vps37b,Mir6366,Gm13405,Plin4,Il17b,Stom,Nat8f4,Dpp4,Inafm1,Ubc,Sel1l3,Gm2427,Elovl5
125,Arhgef7,Sla,Fam102a,Mup-ps15,Med27,Smim3,Rmnd5b,Srrm3,Hapln2,Mapk10,Prcd,Ttyh1,Olfm2,Grhl3,Rpia,Atp1a3,Reln,Gsk3b
126,Cacna2d1,Rims2,Gm13549,Gm13498,Gm47023,Gm47898,Rin1,Nsg1,Tns3,Slc6a17,Ralb,Bhlhe40,Xkr4,Desi2,Kcnk7,Pfkl,Gm3512,Gm13339
127,Pgbd5,Pkp4,Gm7628,Kif21b,Tgfbr1,Gm37571,Cacna1g,Map3k1,Gpr17,Gm9391,Rxylt1,Xrcc3,Enc1,Clrn3,Tmem119,Atp1b1,Ttn,Tfeb
128,Celf4,Nacc2,Arhgef10l,Gm35325,Mtx2,Gm47913,Gm24858,Insyn1,2310005A03Rik,Gm45777,Ftl1,Gm29358,Iqgap2,Cacng1,Glt6d1,Ttc7,Zfp600,Zic5
129,Unc5a,Tnrc6a,Slc27a1,Gm15853,Gm42580,Lrrtm3,Hrh1,Fgf9,Tent5c,Nin,Gpc1,Gm31105,Chst8,Akain1,Gpr37l1,Ptk2b,Btbd11,Ghrh
130,Gm19863,Nr2f2,5430431A17Rik,Wnt5b,Sri,Gm48375,Rap1gap2,Rgs12,4833418N02Rik,Bdnf,Gm4189,Lbh,Wdr7,Mthfd1,Asap3,Napa,Gm3252,Mnt
131,Glt8d2,Ripor2,Gm23144,Rnf125,Mcc,Gm38393,Galnt9,Gm45560,S1pr5,Jph4,Slc35e2,Gm15704,Mamdc2,Olfr452,Gjc3,Grin1,Gm2666,Rara
132,Mical3,Ptpre,Prr5l,Ltc4s,6430553K19Rik,Gm4177,Rab15,Minar1,Nde1,Trim9,Dlx6,Olig1,Kcnk12,Csf2ra,Cspg4,Tspoap1,Baz2b,Cd81
133,Tnik,Grk3,Selenop,Gm37479,Atp6v0c-ps2,Tll2,Rprml,Klf12,Tspan32,Arntl,Kdm6b,Sdc4,Map1b,Pnp2,P2ry6,Prkag2,4921528I07Rik,Ctdsp2
134,Pde4d,Clstn3,Gpr37l1,Gm5849,Hivep3,AC151410.1,Psd,Rnd3,Cobll1,Prkcz,Prrc2a,Nrarp,Stk32c,Rarb,Cpox,Camta1,Gm48626,Fgfr1
135,Ephb6,Xpo6,Pxn,Ankrd22,Nln,Gm10310,Slit3,Dlx6os1-1,Efhd1os,Sel1l3,Siva1,Gm26890,Cdh11,Insyn1,Zfp619,Zfp365,Uggt1,Actb
136,Jakmip1,Evl,Gm42682,Ttll7,Gm10484,Gm38214,Tcf4,Fgf12,Gm8990,Slc2a3,Fgf18,Mtmr4,Mkx,Trim62,Endod1,Cacna1i,Samsn1,Gm24887
137,Gm36495,Fgf9,Tprn,Rgs3,R3hdm2,Gm23860,Tiam2,Hsf4,Rapgef3os1,Neu2,Iffo2,Lncppara,March10,Elp3,Creb3l2,Cux2,Gm3488,Gpt
138,Carmil1,Ttll11,Gm26682,Cyp2b26-ps,Gm21731,Tango6,Igsf9b,Lbh,Gm15635,Slc1a2,Adnp,Csrp1,Scg3,Vat1,Polr2f,Phf24,Gm3002,Arap1
139,Cacna1a,Vash2,Sall3,Gm14162,Sox2ot,Samm50,Ergic1,Rcan2,Meis1,Cacna1e,Gm15569,Zfpm1,Pcsk1,Mageb18,Zc3h12a,Rptor,Gm3752,Nmt2
140,Kcnq2,Cemip,Sdc4,Igbp1b,Usp32,Gm29163,Efcab6,Shisal1,Gm8275,Fbxo34,Arhgap5,Gm45052,Slc7a8,Ass1,Adss,Ddrgk1,Gm7582,Zc3h4
141,Gm15423,Iqsec1,Nde1,Gm43025,Hs6st3,Gm4556,Dlgap4,Csdc2,Lgals2,Adtrp,A930018P22Rik,AW549877,Dok6,Cmpk2,Prob1,Sv2b,Rnf17,Anks1
142,Myo5a,Tmem131l,Slc9a3r1,Pde4b,Tmem217,Eid1,Arntl,Prrt4,Lyn,Inpp5d,Trim8,Mir8114,Atg10,Ankrd63,Cyp2d22,Mbp,A230004M16Rik,Rgs20
143,Nrg1,Adra1a,2900052L18Rik,Metap2,Lrp1b,Hoxc5,Celf5,Metap1d,Frmd8,Lrrc7,Gm14205,Gm6658,Gm17359,Itga5,Rab20,R3hdm2,Sytl3,Btg1
144,Mlip,Runx1t1,Gng11,Nfatc3,Btnl9,Zfyve27,Akt2,Tuba8,Sapcd1,Ndrg4,Gm23538,1600014C23Rik,Itga11,Cntnap5c,Btbd16,C130071C03Rik,Epb41l3,Pitpnc1
145,Mras,Rims4,Snx33,n-R5s26,Gm27178,Gm30655,Jph3,Sox6,Abi3,Dph1,AC114003.1,Fa2h,Lrrc3b,Slc25a33,Cdc42ep2,Gm35569,Gm17019,Bcl2l1
146,Lmo4,Sgk1,Cyp2j9,Trp53bp2,Dnah8,Trim34a,Cit,Gfpt2,Gm44866,Ablim1,Lrrc8a,Kctd14,Kcnh5,Npy,Car13,Usp2,Speer4d,Nfic
147,Osbp2,Igsf3,Mmd2,Arhgap8,Itgbl1,Gm9570,Stx1a,Tmem131l,Pld1,Scn8a,1700054M17Rik,AC155941.1,Fras1,Ncs1,Nfkbia,Pld3,Fryl,Zfp467
148,Ndfip2,Plxna1,Bcl2l1,Gm37778,Cntn4,Gm13669,Ica1,Dlgap2,Mag,R3hdm2,Rnft1,Fzd5,Cdc40,Ackr3,Cmtm3,Rbfox1,Gm16311,Prkcd
149,Pam,Nacad,Eva1a,Mgat4b,Neil3,Ubtd1,Tmem63c,Vash2,Zfp488,Gm49447,Sergef,Hmgn1,Ncan,Cntnap5a,Swap70,Gm19863,Prex2,Rab3il1
150,Gm11840,Adamts15,Id3,Gm45406,Foxp2,Gm43977,Sv2b,Traf3ip2,Gm36033,Rph3a,Ubash3b,P4hb,Tshz3,Penk,Dact3,Plekho1,Grik1,Gm44066
151,Adam23,Gm24514,Lhfpl2,Anks1b,Trip12,Gm11274,Ift122,Sox1,Mcam,Igfbp5,Hnrnpdl,Gm7008,Kcnv1,Ripor3,Id3,Psd,Sp110,Tubb4b
152,Tsc22d1,Siah3,Sox10,D030025E07Rik,Elfn2,Gm8881,Gm15957,St8sia5,Arhgef19,Elfn2,Papss1,Aldoc,Phyhip,Adra2b,Marcksl1,Ttyh1,Slc25a21,Afap1l2
153,C730002L08Rik,Chd6,Tmcc3,Gm20619,Olfr1282,Gm25640,Pde4d,Grik1,Fzd5,Mbnl2,2900072N19Rik,1700025H01Rik,Soga3,Ppa1,Myog,Grin2a,Gm2974,St6gal1
154,Camk2b,Abr,Gm29291,Ace,Ice2,Xrra1,Osbpl1a,Gm19554,Ccr6,Igsf8,Sp3,Tex44,Arsb,Sox12,Cdrt4,Glt8d2,Slc14a2,Cirbp
155,Trank1,Mtus2,Nkain1,Gm23943,9130015G15Rik,Gm15602,Dlgap1,Dchs1,Gpt,Tenm4,Prpf40a,Tppp3,Epha3,Lama1,Prr18,Tbr1,Gm7609,Arid5a
156,2010300C02Rik,Plxnc1,AC091309.2,Ces1c,4930402H24Rik,Gm26137,B4galnt4,Gdpd5,Pbx3,Phactr1,Ube3a,Gpr146,Kcnd2,Isoc1,Depdc7,Ndrg3,Arhgap18,Park7
157,Rnf165,Kcnk2,Endou,Agk,Gm29154,Gm47655,Sept9,Tox2,Ggta1,Myt1l,Arx,Phldb1,Trhde,Rnf152,4930544G11Rik,Inka2,Ank1,Glud1
158,Lims1,C820005J03Rik,Pdlim2,Cr2,Gm37846,Gm37438,Ak4,Zbtb40,Slc7a7,Pla2g4b,Ackr3,Mlh1,Kcnf1,Mcidas,Ly6g6f,Trim9,Arhgap12,Qk
159,Tiam1,Itsn1,Gm33756,Gm37056,Zfp507,Gm19099,Pla2g5,Bmf,Gm15471,Elk3,Coro1c,Sertad3,Lnx2,Eef1e1,Hspa2,Sgsm1,Pappa2,F3
160,Mir7220,Gm25239,Apoe,Gimap6,Ppp1r12b,Gm48876,Ank3,Sp8,Rasgrp3,Dlg2,Zcchc14,4930430O22Rik,Cdk5r2,Dleu7,Trpv3,Syt1,Glis3,Egfl7
161,Sestd1,Srgap3,Tmem63a,Gm24041,Pxdn,Gm9318,Rilpl1,Amotl1,Gm32296,Dlgap1,Tango2,Agpat5,Npr3,Pgap1,Kctd7,Elmo2,Gm8108,Kifc3
162,Nbea,Cacna1a,Trf,9330175E14Rik,Ablim1,Tacc1,Sgsm1,Ankrd55,9530027J09Rik,Plekhg5,Alk,Tspan14,Gcnt4,Vax1,Gm4894,Gm27679,Gm10354,Sox8
163,Mir124-2hg,Kcnc2,Rhog,Plch1,Map2,Gm13063,Mast4,Atg16l2,Csf3r,Atxn7l1,Pgls,Ndufa6,Zbtb9,Derl3,Tmem125,Adcy1,Gm8281,Gm15612
164,Rapgef4,Cntnap4,Prodh,Mocs1,Ttc37,Itsn1,Cacna1b,Gm33175,Lap3,Herc3,Zfp473,Adgrg1,Arsj,Il20ra,Ift43,Dgkz,Ankrd44,Jade2
165,Plxna2,Inpp5f,Gm4262,Cep112,Dgkh,Mir7073,Fam160a1,Cep164,Fmnl3,Pkn1,Ciapin1,Rnf220,Lemd1,Ifit3,Med29,Smad3,Gm18035,Tbl2
166,Gm26871,Fbxo38,Chd7,Gm6614,Gm44041,Gm10247,Abr,Lgr5,Apbb1ip,Fap,Gm15704,Wdr1,Gucy2g,Fam184b,Gng8,Fbxo34,Gm23215,Plxnb1
167,Frmd6,Gm17118,Tmem88b,Camk2b,Zcchc7,Gm28156,Phf24,Zfp516,Nod1,Ntm,1700056E22Rik,Sh2d6,Bmper,Slc6a11,Nrarp,Scn8a,Mepe,Klf3
168,Rimbp2,Lmo2,Gm15417,Myo10,Sgip1,Gm11944,Itpka,Pdxk-ps,Gm4593,Lncpint,Gphn,Phf19,Dtx4,4930583I09Rik,Hepacam,Myrip,Duxf3,2610035F20Rik
169,Stxbp5,Rerg,5430425K12Rik,Dusp16,Trim24,Gm42850,Tenm2,Dlc1,Zfp36,Btbd9,Kdm8,Khsrp,Ppm1e,Rai2,Cdh19,Abr,Arhgap24,St3gal4
170,Etl4,n-R5s82,Ubash3b,Kalrn,1700023F02Rik,Gm37383,Astn1,Etl4,Arsg,Gm14340,Arl3,Capn2,Bace2,Prop1,Tmem273,Elk3,Palld,Ralgds
171,Asap1,Lrch1,Tmbim1,Mylk,Ap2s1,Selenoh,Bdnf,Arhgap40,Tgfa,Ago2,Zfp467,Rfx1,Tmem200a,Cort,C1qtnf5,C030013C21Rik,Epb41l2,Sparc
172,Cdk17,Gm29164,Rnf220,Oprm1,Dgkz,Gm12126,Pfkl,Spock2,AC134908.4,Tex264,Gm11450,Orai1,Neurod6,Mppe1,BC049352,Inpp4a,Cadps2,Vcl
173,Tcof1,A530058N18Rik-1,Slc6a9,AC141639.2,F730016J06Rik,Gm25402,Ppp2r2c,Gria1,Gm6263,AC121886.1,Slc25a28,4930426I24Rik,Zfp804b,Slc22a3,Rybp,Rilpl1,Gm14365,Stat3
174,R3hdm2,Smarca2,Zfp488,Sbf1,Epha3,Neto2,Emx1,Tmem130,Gm40117,Kcnq2,Gen1,Epas1,Dusp6,Fam181b,Slc12a3,Ccdc155,Zfp981,Abhd11
175,Ssbp3,Npas3,Folh1,Fgf12,Nuak1,Slc26a11,Gm43760,Rerg,Mir8114,Kcnf1,Nptn,Mir1191b,Mtfp1,Ppif,Slc12a7,Apbb1,Eya4,Dusp6
176,Prickle2,Lancl1,Mfsd2a,Gm3523,4933425L06Rik,Ccr4,Mtcl1,Nrg2,Tent5a,Anks1b,AC154492.1,Pex2,BC016579,Maf,Nkx2-9,Ppp3ca,Sulf1,Zfp423
177,Snap91,Nav3,Lgals2,9130024F11Rik,Cplane1,Tmx3,Hpca,n-R5s82,Gm14040,Gm47202,Usp36,Tedc1,B230217C12Rik,Castor2,Cbx4,Slc17a7,Speer4cos,Kdm6b
178,Pfkp,Mcf2l,Dnajc7,Gm11839,Dcaf1,Espnl,Arhgef7,Smarcd3,Gm31172,Tiam2,Hp1bp3,Fam228b,Rras2,Gm8439,Slc25a48,Rnf169,1700026F02Rik,Zcchc24
179,Gm47461,Syn2,Gpam,Dpy19l3,Gm37143,4930589P08Rik,Tcof1,Fam110b,Insc,Mir6366,C820005J03Rik,Appl2,Mn1,Parm1,Pld4,Mir124-2hg,Gm13166,Eci2
180,Phf24,AC114003.1,Efhd1os,Tnfsf13b,Pan3,Gm23610,Camk2b,Sema6c,Sorbs3,Gm48904,Gm12714,Nfe2l2,Plxnc1,Grid1,Zfyve1,Gm8731,Pik3c2g,Atp5j
181,Dzip1,Cep164,Usp54,Clec3a,Pcnx2,Pkd1,Nphp4,Slc12a5,Gna15,Jdp2,Nol4l,Samd4b,2210408I21Rik,Scg2,Fam222a,Rasgef1b,Zfp984,Pcx
182,Mcf2l,Arhgef6,Zic5,Gm19108,Xpr1,Fgfr1,Srrm4,Podxl2,Selplg,2010111I01Rik,Gm20337,Spg7,Slc9a9,Slc47a2,Atp8b1,Hpcal4,D830030K20Rik,C130071C03Rik
183,Nol4,Lamb1,Mertk,Gm47098,Trim69,Gm29599,Ubxn11,Ptprs,Gjc2,Gm46540,4632415L05Rik,Bcar1,Tmem121b,Chst11,Lgals2,Pi4ka,Ccdc73,Hbp1
184,Cabin1,6430584L05Rik,Tkt,Gm43174,Sv2b,Gm26623,Dab1,Dhx32,Gm8013,Numbl,Camk2n2,Vkorc1l1,Vps37b,Gpc1,Oaf,Tsc22d1,Gm3020,Rhob
185,Atxn7l1,Galnt14,Gm15471,Gm29764,Gm34776,Acbd4,Mir9-3hg,Nrxn3,Gm29455,Sirpa,Scd2,Lrp4,Jph1,Mapk1ip1,Tmem86a,Gm29441,Gm10553,Mplkip
186,Kcnf1,Rbfox2,Ptges3-ps,Dclk1,Slc8a1,Gm44089,Cck,Ngf,Defb42,Mas1,Gm14286,Gm41144,Gm765,Sst,Mafb,Dlg4,Slco1a6,Dmrta2
187,Zfp385b,Cacna1d,Gjc3,B230110G15Rik,Arhgap19,Telo2,P3h1,Nefh,Smim5,Tub,Sptssa,4930432B10Rik,Sh3pxd2b,Hydin,Sall3,Rny3,Lyst,Gm37885
188,Inpp4a,Gm36503,Gm13174,Axdnd1,Psmd14,Gm14469,Nfasc,Obsl1,Tmem140,Gm13536,Shb,Tmcc3,Itpka,Fdxr,Cd2,Nr4a1,Pcdh15,Vegfa
189,Gria3,Trio,Bcan,Vmn2r8,Cbr3,Olfr650-ps1,Mas1,Gm49694,St3gal4,Shank2,Bmpr1a,Gm45168,Pdgfb,Samd5,Utf1,Dlgap2,Egfem1,Tnfrsf19
190,Baiap2,Kcnab2,Capn2,Celsr1,Gm11822,Gm45556,Lars2,Gm49540,Gm14319,Ephx4,Carnmt1,Fads2,St6galnac5,Fem1c,2510039O18Rik,Npas4,Nckap5,AC155941.1
191,Ndrg3,Gm24845,Plxnb3,Pard3,Umodl1,Washc1,Tyro3,Oprd1,Tspan32os,Mei1,Nampt,Setd2,Rassf3,Pip4p2,Rtcb,Tiam1,Vwf,Ankrd10
192,Ptprj,Gm42692,Rab3il1,Gm36011,8430437L04Rik,Gm10548,Col4a1,Zfp385b,Gm30198,Nos1ap,Rps6kl1,Ctbp1,Itprid1,Srebf2,Csk,Rab15,Gm27878,Appl2
193,Gabbr2,Rnd2,1700025H01Rik,Cabcoco1,Gm24492,Gm24524,Fbxo34,Daam1,Abhd15,Fhl2,Cdk5rap3,Garem1,Rarb,Hist3h2ba,Olfml2b,Rnf165,4932438A13Rik,Gm11712
194,Neu2,Shisa6,Sall1,Rapgef4os1,Gm12075,Trmt11,Sncb,Tmem183a,Gm44956,Igsf9b,Ubald2,Hdac4,Ovca2,Map2k1,Zfp36l1,Map2,Itga9,Lgi1
195,Csrnp3,Dlx6os2,Fam107b,Ralgapb,Hhat,Gm38477,Tiam1,Sox11,Mfng,AC121802.1,Lhx6,Bhlhe41,Il17ra,Eepd1,Zfp128,Iqsec1,Rpl17-ps10,Asrgl1
196,Spred2,Phactr3,Ermn,Pggt1b,Plekhb2,Gm47914,Atp1a3,Bag3,Cldn11,Rims3,Trio,Nova1,Cnnm1,Clic4,Tmem51,Hpca,Gm7697,Gm11408
197,Dab1,Gm17141,Gpt,Gm36986,Ankdd1b,Ttc3,Garnl3,Crhbp,C1qb,Rab15,Got2,Cdk2ap1,Kcnj11,Ndnf,S1pr2,2010300C02Rik,Armc4,Gadd45b
198,Tnr,Mpped1,Plekhb1,Gm42999,Carmil1,Gm4178,Rara,Nrxn2,Car14,Bcl11a,Grin2d,AC134908.4,Hivep1,Garem1,Flvcr2,Celf1,Focad,Nfkbia
199,Pde1a,Cacna1b,Apoc1,Gm24841,Abcc4,Gm31814,Trank1,Gm25888,Slc1a3,Oacyl,Eif3k,Gm43701,Dcaf5,Hcn4,Mcur1,Eml6,Gm8206,Irak2
200,Dgki,Nln,S100b,Gm23755,Mir5126,Gm49513,Nin,4930461G14Rik,Gm39348,2410003L11Rik,Eif4a1,Ifnar2,Megf9,Calb1,Dusp7,Ccdc88c,Gm13146,Zbtb20
201,Prkag2,Stambpl1,Appl2,Mettl8,Mmp16,Gm47924,Nos1ap,Mir124a-3,Gpa33,Fndc9,Xkr6,Sfxn5,Siae,Ptprz1,Neurl3,Egr3,Thada,C330013E15Rik
202,Cacna1c,Bcat1,Clmn,Gm12677,Frmd5,Tmem255b,Aagab,Il34,Hexb,Pxdn,Katnb1,Gm24159,Sntb2,Lancl3,G0s2,Rims3,Myof,Gm12571
203,Kmt2e,Zfp608,Axl,Myrfl,Gnao1,Gm11281,Mettl24,Mllt1,Gm15441,Gm43693,Mrps16,Gm27711,Ly86,Abtb2,Rnf135,Zfyve28,Eya2,Nat9
204,Serpinb8,Pacsin2,Gm11400,Gm37064,Stag1,Gm44933,Olfm2,Tmem132c,Tacc3,Rims4,4930509E16Rik,Ntsr2,Vps45,Mrrf,Chst4,Ncor2,Pcca,Gli2
205,Rbm22,Abat,AC155941.1,Cep126,Aqr,Gm13199,Hivep3,Usp36,Cd300c2,Elavl4,Eif2ak3,Agl,Trank1,Cib4,Elovl7,Rtn4rl2,Zfhx3,Snx18
206,Nav2,Cntn4,Car14,Rnf214,Chn1,Gm16347,Gm8731,Clmp,Tal1,Dlgap2,Inpp5a,Zfp143,Sptbn2,Gpr3,Creb5,5330438I03Rik,A330093E20Rik,Psd2
207,Sptbn1,Traf3ip2,4931406P16Rik,Ambra1,Ythdc2,Gm11915,Ap1b1,Rai1,Gm10489,Fam241b,Prss36,Nek3,Emx1,Btg1,Jag1,B130046B21Rik,Stk3,Fkbp2
208,Rasgef1b,Vax1,A830008E24Rik,Ttc7b,Slco5a1,Hes2,Agpat4,Impa2,Gm7628,Tbc1d22a,Kcnmb2,Dnpep,Mrps27,Vapb,Hhex,Rasl11b,Cntn4,Gpam
209,Cacnb2,Maf,Prdm16,Heatr5a,Gm31718,Gm37542,Ptpn5,Gm43177,Gm20515,Rps16-ps2,Zfpm1,Ift27,Aagab,Cfdp1,Ptafr,Dnajc16,Tmem267,AI464131
210,Atp1b1,Srrm4,Pon2,Rasgef1c,Ppnr,Gm36211,Mef2c,Cacna1c,Mir142hg,Nrn1,Nacc2,Slc7a10,Kcng2,Mvb12b,Gpr157,Galnt9,Zfp385b,Gm38221
211,Arc,Cux2,Gm4632,Tsc22d1,Zfp697,Os9,2410003L11Rik,Tsc22d1,AC127256.2,Ppp2r2c,Fchsd2,Litaf,Ccdc3,Ogdhl,Phf19,Mthfr,Gm8178,Rnaset2a
212,Ppm1k,Gm16058,Gm36246,Ces1a,Gm12369,Vmn2r81,Coro2b,Grk3,Pld4,Klf10,9330188P03Rik,Gm29394,Ackr1,Lrrc38,Cyth4,Mbnl2,Tanc1,Dbx2
213,Gpm6b,Hrh3,9230117E06Rik,AA619741,AC154779.1,Gm4120,Dlgap2,Xkr6,Mir8110,Ccn4,Fgf9,Kif24,Grap2,Echdc3,Nfkbie,A330009N23Rik,Gm13153,Sox13
214,Jph3,Gm12524,Gm43745,Agr2,Nme7,Traf7,Atp9a,Srrm4,St6gal1,Gm35569,Sharpin,Mlxip,Flnb,Ddit4,Fbxo32,Mef2d,Gm11400,Gnai2
215,Plcb4,Filip1,Capn9,Aspm,Ttc29,Ccdc107,Atp1b1,Pde9a,1700027J07Rik,Prr14,Pinx1,Ankhd1,Scd4,Hes3,Vamp8,Ensa,Slc15a5,Hes1
216,Exph5,Epb41l1,Arrdc2,Grxcr1,Dpy19l3,Gm25975,Fam129b,Casz1,Pdlim2,Syt12,Bend6,Atg2a,Celf3,Dchs2,Gm5148,Fam53b,Dscaml1,Gm41144
217,Ap1b1,Gm16268,Slc5a11,Zkscan17,Ipo11,Gm8115,Rims3,Gprc5b,Nfkbia,Cx3cl1,Tubb2b,Gm20753,Eno1b,Tmem71,Lrig3,Dbn1,Vmn2r4,Zfpm1
218,Dpp4,Dlg5,Asrgl1,Ust,Ndst3,Gm37712,Mtus2,Prcd,Zfp36l1,Pde4d,Gm49540,Fasn,Basp1,Hapln1,Cox20,Cdc40,Mug-ps1,Glul
219,Fam234b,Jakmip3,Crybb1,Gm7554,Uggt1,Gm12404,Rap1gap,Adamts15,Tgfbi,Golga7b,Shisal1,Smim5,Crkl,8030423J24Rik,Ell,Sncb,Gm49072,Gm33756
220,Gm16351,Nrsn1,1190005I06Rik,Gm25143,Clpb,2310008N11Rik,Igfbp5,Th,Gm43775,Pfkl,Slc39a7,Zfp423,Jcad,Oxtr,Rps6kb2,Meltf,Gm7760,Pigv
221,Ciz1,Ccdc63,Crlf3,Tpo,Adamtsl1,Gm14314,Gm10432,Asic4,Cebpd,Mroh4,Smtn,2810410L24Rik,Nhlrc2,Creb3l2,Zic5,Dip2b,Mctp1,Gm25239
222,Cacnb4,Plekha5,Plin4,Ogn,Pde11a,Grik1,Islr2,Calcoco1,Bcl3,Gnb5,Ankhd1,Micall2,Rspo2,A430078G23Rik,F11r,B4galnt4,Thsd7a,Rnaset2b
223,Snd1,Grin2d,Gm10277,Uri1,Gm5431,Nudt9,Shank3,4930568G15Rik,Ly6g6d,Kdm4b,Gm11468,Gm43823,Ptgfrn,Zfp706,Ccl2,Slc8a2,Vmn2r125,Cox14
224,Myrip,Arhgap21,Urm1,Synpo,Adam26a,Gm30400,Unc79,Mir3080,Ifngr1,Gm24756,Usp34,Gm13062,Shc3,Rgcc,Fzd2,Grik5,Lipo3,Gpr37l1
225,Nectin3,Robo2,Mir219a-2,Adra2a,Sptbn1,Dlgap1,Gm29441,Pitpnm3,Cxxc5,Tspan5,Lsm14b,Efcab2,Egr1,Cplx1,Ccdc117,Pxdn,4930572O03Rik,Ccnd3
226,St7,Pitpnm3,Cxxc5,Sis,Chd2,Gm33432,Rai1,Sh3rf3,Gm19439,Myrip,Grik3,Add3,March4,Tomm20,Odf3l1,Itm2c,Cfap69,Yipf6
227,Upp2,Podxl2,Vegfa,Alkbh1,Syt6,Gm43436,Celf3,Ttc28,Gm39556,Celf6,Cbx4,Arhgap35,Agpat4,Afg3l2,Pnrc1,Plekhg5,Ano1,Btbd17
228,Cacna1g,Sncaip,Gm37885,Usp6nl,4933411E08Rik,Gm44960,Nfix,Nacad,Arhgap45,Pde4a,Mir5126,Gm31718,Hpcal4,Gprin2,Cd101,Lrrc7,Gm13155,Gm10561
