,SF_IN,SF_EX,SF_NN,CU_IN,CU_EX,CU_NN,TA_IN,TA_EX,TA_NN,TN_IN,TN_EX,TN_NN,SM_EX_L2.3.IT,SM_EX_L5.6.NP,SM_EX_L5.ET,SM_EX_L5.IT,SM_EX_L6.CT,SM_EX_L6.IT.Car3,SM_EX_L6b,SM_IN_Lamp5,SM_IN_Pvalb,SM_IN_Sncg,SM_IN_Sst,SM_IN_Vip,SC_IN,SC_EX,SC_NN
122,Dlx5,Sulf1,Timp3,,,,,,,,,,,,,,,,,,,,,,,,
123,Cox6a2,Nptx1,Npepl1,,,,,,,,,,,,,,,,,,,,,,,,
124,Pcp4l1,Fancd2,Cecr2,,,,,,,,,,,,,,,,,,,,,,,,
125,Gm38505,Adcyap1,Mt1,,,,,,,,,,,,,,,,,,,,,,,,
126,Dlx2,Foxp2,Slc2a1,,,,,,,,,,,,,,,,,,,,,,,,
127,Gm1604a,Slc17a6,Sox9,,,,,,,,,,,,,,,,,,,,,,,,
128,Lgals1,5330416C01Rik,Gm10561,,,,,,,,,,,,,,,,,,,,,,,,
129,Hapln1,Igfbp6,Aldoc,,,,,,,,,,,,,,,,,,,,,,,,
130,Rpp25,Ly6g6e,Mpzl1,,,,,,,,,,,,,,,,,,,,,,,,
131,Sp9,Car12,Fgd6,,,,,,,,,,,,,,,,,,,,,,,,
132,Rgs12,Tnnc1,Arhgef10,,,,,,,,,,,,,,,,,,,,,,,,
133,Asic4,Rgs14,Adhfe1,,,,,,,,,,,,,,,,,,,,,,,,
134,Klhl13,Pamr1,Phka1,,,,,,,,,,,,,,,,,,,,,,,,
135,Zcchc12,Mas1,Cst3,,,,,,,,,,,,,,,,,,,,,,,,
136,Gm1604b,Prss35,Irak2,,,,,,,,,,,,,,,,,,,,,,,,
137,Grip1,Gm26652,Eya1,,,,,,,,,,,,,,,,,,,,,,,,
138,Rnd2,Col12a1,Notch2,,,,,,,,,,,,,,,,,,,,,,,,
139,Lmo2,Sebox,Rgcc,,,,,,,,,,,,,,,,,,,,,,,,
140,Gm13889,Ptgs2,Tmcc3,,,,,,,,,,,,,,,,,,,,,,,,
141,Penk,Hgf,Elf1,,,,,,,,,,,,,,,,,,,,,,,,
142,Tubb2b,Prss22,Smpd2,,,,,,,,,,,,,,,,,,,,,,,,
143,Rgs10,Kcnip3,Appl2,,,,,,,,,,,,,,,,,,,,,,,,
144,Lancl3,Inf2,Hes5,,,,,,,,,,,,,,,,,,,,,,,,
145,Gprc5b,Il12a,Col11a2,,,,,,,,,,,,,,,,,,,,,,,,
146,Pvrl2,Atp2b4,Srebf1,,,,,,,,,,,,,,,,,,,,,,,,
147,Cpne2,Grp,Acss1,,,,,,,,,,,,,,,,,,,,,,,,
148,Nupr1,Tbata,Zbtb20,,,,,,,,,,,,,,,,,,,,,,,,
149,Gpr149,Epor,Elovl7,,,,,,,,,,,,,,,,,,,,,,,,
150,Ap1s2,Grm2,Chd7,,,,,,,,,,,,,,,,,,,,,,,,
151,Wnt5b,Emx1,Myo6,,,,,,,,,,,,,,,,,,,,,,,,
152,Slc25a13,Gm42456,Arhgap31,,,,,,,,,,,,,,,,,,,,,,,,
153,Gm13629,Slc26a4,Fam20a,,,,,,,,,,,,,,,,,,,,,,,,
154,Filip1,Tnnt2,Rhbdf1,,,,,,,,,,,,,,,,,,,,,,,,
155,Siah3,Ctgf,Ppfibp2,,,,,,,,,,,,,,,,,,,,,,,,
156,Ifitm10,Rprm,Nfkbia,,,,,,,,,,,,,,,,,,,,,,,,
157,Lypd6b,Gm2694,Prdx6,,,,,,,,,,,,,,,,,,,,,,,,
158,Limch1,Cpa6,Trp53bp2,,,,,,,,,,,,,,,,,,,,,,,,
159,Abtb2,H2-T23,Sat1,,,,,,,,,,,,,,,,,,,,,,,,
160,Fam210b,Ccdc155,Jam2,,,,,,,,,,,,,,,,,,,,,,,,
161,Nkain3,Wnt10a,Dbi,,,,,,,,,,,,,,,,,,,,,,,,
162,Arhgap12,Cd6,Soga1,,,,,,,,,,,,,,,,,,,,,,,,
163,Mtss1l,Cecr6,Eogt,,,,,,,,,,,,,,,,,,,,,,,,
164,Kif26b,Ier5,Slc12a4,,,,,,,,,,,,,,,,,,,,,,,,
165,Rab3c,Ctxn1,Vegfa,,,,,,,,,,,,,,,,,,,,,,,,
166,Ntn4,Krt12,Sirt2,,,,,,,,,,,,,,,,,,,,,,,,
167,Utrn,Sstr3,Serpine2,,,,,,,,,,,,,,,,,,,,,,,,
168,Flt3,Rab26,Lama3,,,,,,,,,,,,,,,,,,,,,,,,
169,Cemip,Wnt9a,Rgma,,,,,,,,,,,,,,,,,,,,,,,,
170,Sema6a,Rasgef1c,Elovl5,,,,,,,,,,,,,,,,,,,,,,,,
171,Pacsin2,Gm13561,Crot,,,,,,,,,,,,,,,,,,,,,,,,
172,Tbc1d4,S100a6,Crlf3,,,,,,,,,,,,,,,,,,,,,,,,
173,Calb2,Egr4,Itga6,,,,,,,,,,,,,,,,,,,,,,,,
174,Htr3a,Rasgef1b,Phactr4,,,,,,,,,,,,,,,,,,,,,,,,
175,Pthlh,Gm42649,Rab31,,,,,,,,,,,,,,,,,,,,,,,,
176,Ndnf,Gpr26,Slc4a4,,,,,,,,,,,,,,,,,,,,,,,,
177,Npy2r,Tmem215,Usp54,,,,,,,,,,,,,,,,,,,,,,,,
178,Fam46a,Gm30382,Cyp4f13,,,,,,,,,,,,,,,,,,,,,,,,
179,Grpr,Dpp4,Slc27a1,,,,,,,,,,,,,,,,,,,,,,,,
180,Dlx6,Mapk11,Rrbp1,,,,,,,,,,,,,,,,,,,,,,,,
181,Sox2,C1ra,Apod,,,,,,,,,,,,,,,,,,,,,,,,
182,Lrrc38,Mast3,Mal,,,,,,,,,,,,,,,,,,,,,,,,
183,Nrtn,Gm12002,Sparc,,,,,,,,,,,,,,,,,,,,,,,,
184,Cenpa,Rgs4,Cldn11,,,,,,,,,,,,,,,,,,,,,,,,
185,Pdyn,Stard8,Mag,,,,,,,,,,,,,,,,,,,,,,,,
186,Sp8,Nxph3,Gng11,,,,,,,,,,,,,,,,,,,,,,,,
187,Shisa8,Cckbr,Mog,,,,,,,,,,,,,,,,,,,,,,,,
188,Tnnt1,Sema4a,Gjc3,,,,,,,,,,,,,,,,,,,,,,,,
189,Sox1,Grasp,Sox10,,,,,,,,,,,,,,,,,,,,,,,,
190,Gjd2,Ptprd,Cnp,,,,,,,,,,,,,,,,,,,,,,,,
191,Ptprz1,Pdlim1,Fa2h,,,,,,,,,,,,,,,,,,,,,,,,
192,Wif1,Plk5,Aspa,,,,,,,,,,,,,,,,,,,,,,,,
193,Nos1,Arpp19,St18,,,,,,,,,,,,,,,,,,,,,,,,
194,Tnfaip8l3,Dusp14,1700047M11Rik,,,,,,,,,,,,,,,,,,,,,,,,
195,Gm17750,Kcnh5,Mobp,,,,,,,,,,,,,,,,,,,,,,,,
196,Nr2e1,Gm12536,Fcgrt,,,,,,,,,,,,,,,,,,,,,,,,
197,Pcdh18,R3hdm1,Pdgfrb,,,,,,,,,,,,,,,,,,,,,,,,
198,Adamts15,Cdkl4,Ugt8a,,,,,,,,,,,,,,,,,,,,,,,,
199,Teddm3,Vwa3a,Tmem100,,,,,,,,,,,,,,,,,,,,,,,,
200,Egln3,Igsf21,Vcam1,,,,,,,,,,,,,,,,,,,,,,,,
201,Krt1,Ngef,Pon2,,,,,,,,,,,,,,,,,,,,,,,,
202,Wnt5a,Rasl11b,Serpinh1,,,,,,,,,,,,,,,,,,,,,,,,
203,Kirrel,Foxp1,Id1,,,,,,,,,,,,,,,,,,,,,,,,
204,Gm26905,Pou3f1,Pllp,,,,,,,,,,,,,,,,,,,,,,,,
205,Cdca7,Dusp18,Oaf,,,,,,,,,,,,,,,,,,,,,,,,
206,Gm26633,Lrrc6,Cyp4f15,,,,,,,,,,,,,,,,,,,,,,,,
207,Fgf11,Nptx2,Cdh19,,,,,,,,,,,,,,,,,,,,,,,,
208,Dchs1,Gm15997,Etnppl,,,,,,,,,,,,,,,,,,,,,,,,
209,Cp,1110008P14Rik,Tcn2,,,,,,,,,,,,,,,,,,,,,,,,
210,Fmo1,9430020K01Rik,Igfbp2,,,,,,,,,,,,,,,,,,,,,,,,
211,Tcerg1l,Frzb,Nfe2l2,,,,,,,,,,,,,,,,,,,,,,,,
212,Frem1,Plxnd1,Olig2,,,,,,,,,,,,,,,,,,,,,,,,
213,Jam2,Diras2,Lcat,,,,,,,,,,,,,,,,,,,,,,,,
214,Crlf1,Trib1,Pmp22,,,,,,,,,,,,,,,,,,,,,,,,
215,Nt5dc2,Ptprk,Olfml1,,,,,,,,,,,,,,,,,,,,,,,,
216,Oxtr,Jsrp1,Itgb5,,,,,,,,,,,,,,,,,,,,,,,,
217,Fam163a,Fras1,Folh1,,,,,,,,,,,,,,,,,,,,,,,,
218,Bcl2l11,G630016G05Rik,Slc9a3r1,,,,,,,,,,,,,,,,,,,,,,,,
219,Gpx3,Gfra2,Axl,,,,,,,,,,,,,,,,,,,,,,,,
220,Syde1,Csgalnact1,Lef1,,,,,,,,,,,,,,,,,,,,,,,,
221,Col14a1,Pde1a,Itih5,,,,,,,,,,,,,,,,,,,,,,,,
222,Fam131c,A330009N23Rik,Car2,,,,,,,,,,,,,,,,,,,,,,,,
223,Erbb2ip,Npas4,Ednrb,,,,,,,,,,,,,,,,,,,,,,,,
224,Fgd3,Adora1,Prrx1,,,,,,,,,,,,,,,,,,,,,,,,
225,Unc13c,Egr1,Pdzph1,,,,,,,,,,,,,,,,,,,,,,,,
226,6530411M01Rik,Igsf9b,Cml3,,,,,,,,,,,,,,,,,,,,,,,,
227,Lbh,Lamc2,Tspan15,,,,,,,,,,,,,,,,,,,,,,,,
228,Mme,Extl1,Ndrg1,,,,,,,,,,,,,,,,,,,,,,,,
229,Nog,Fgf5,Cdc42ep1,,,,,,,,,,,,,,,,,,,,,,,,
230,Tmem132e,Mkl2,Sall3,,,,,,,,,,,,,,,,,,,,,,,,
231,Zfp467,Cacna1e,Il33,,,,,,,,,,,,,,,,,,,,,,,,
232,G0s2,Pdp1,S100a13,,,,,,,,,,,,,,,,,,,,,,,,
233,Fibcd1,Llgl2,Ninj2,,,,,,,,,,,,,,,,,,,,,,,,
234,Ifit2,Psd3,Nwd1,,,,,,,,,,,,,,,,,,,,,,,,
235,Gdf10,Scn4b,Gm16168,,,,,,,,,,,,,,,,,,,,,,,,
236,Cntnap4,Egr2,Metrn,,,,,,,,,,,,,,,,,,,,,,,,
237,Lama3,Neurl1b,Aox1,,,,,,,,,,,,,,,,,,,,,,,,
238,Gng7,Tmem159,Agmo,,,,,,,,,,,,,,,,,,,,,,,,
239,Cd63,Nefm,Hif3a,,,,,,,,,,,,,,,,,,,,,,,,
240,A330033J07Rik,Ttc9b,Tmem176b,,,,,,,,,,,,,,,,,,,,,,,,
241,Itga9,Pdgfb,Nckap5,,,,,,,,,,,,,,,,,,,,,,,,
242,Steap2,Kremen1,Gldc,,,,,,,,,,,,,,,,,,,,,,,,
243,Scn9a,Aifm3,Nhsl1,,,,,,,,,,,,,,,,,,,,,,,,
244,Ptpro,Rap2b,S100a1,,,,,,,,,,,,,,,,,,,,,,,,
245,BC030500,Pcp4,Wwtr1,,,,,,,,,,,,,,,,,,,,,,,,
246,Igsf11,Gadd45a,Acot11,,,,,,,,,,,,,,,,,,,,,,,,
247,Zfp804a,E130012A19Rik,Phgdh,,,,,,,,,,,,,,,,,,,,,,,,
248,Klf5,C730002L08Rik,Rfx4,,,,,,,,,,,,,,,,,,,,,,,,
249,Luzp2,Gm34583,Tcf7l1,,,,,,,,,,,,,,,,,,,,,,,,
250,Cacng5,LOC102634132,Emp2,,,,,,,,,,,,,,,,,,,,,,,,
251,Myo3b,Tcrb,Zfp521,,,,,,,,,,,,,,,,,,,,,,,,
252,4930555F03Rik,LOC105246694,Vangl1,,,,,,,,,,,,,,,,,,,,,,,,
253,Kctd8,9130024F11Rik,AI464131,,,,,,,,,,,,,,,,,,,,,,,,
254,Eya1,Gm30620,Zcchc24,,,,,,,,,,,,,,,,,,,,,,,,
255,Ttc28,LOC105242740,Gm973,,,,,,,,,,,,,,,,,,,,,,,,
256,Gipc2,Gm35810,Ppara,,,,,,,,,,,,,,,,,,,,,,,,
257,Tiam1,5031426D15Rik,Ezr,,,,,,,,,,,,,,,,,,,,,,,,
258,Coro6,LOC102634502,Creb5,,,,,,,,,,,,,,,,,,,,,,,,
259,Tmcc3,LOC105247149,Nxn,,,,,,,,,,,,,,,,,,,,,,,,
260,Cntnap2,Gm10635,Celrr,,,,,,,,,,,,,,,,,,,,,,,,
261,Amotl1,Gm30512,Limd1,,,,,,,,,,,,,,,,,,,,,,,,
262,Cygb,Gm30092,Phxr4,,,,,,,,,,,,,,,,,,,,,,,,
263,Gm4221,Gm32793,Gng5,,,,,,,,,,,,,,,,,,,,,,,,
264,Pcbd1,LOC102636041,Tnfaip6,,,,,,,,,,,,,,,,,,,,,,,,
265,Ust,LOC100503338,Plod1,,,,,,,,,,,,,,,,,,,,,,,,
266,Hunk,Gm35248,Col9a3,,,,,,,,,,,,,,,,,,,,,,,,
267,Bend4,LOC105243542,Wipf1,,,,,,,,,,,,,,,,,,,,,,,,
268,Fgf18,LOC105245865,Megf10,,,,,,,,,,,,,,,,,,,,,,,,
269,Endod1,Gm35161,Pard3b,,,,,,,,,,,,,,,,,,,,,,,,
270,Ramp2,Egr3,Fam107b,,,,,,,,,,,,,,,,,,,,,,,,
271,Gm14204,Gm31097,Palld,,,,,,,,,,,,,,,,,,,,,,,,
272,LOC105243425,Gm29674,Eps8,,,,,,,,,,,,,,,,,,,,,,,,
273,LOC102632463,Gm32756,Gsap,,,,,,,,,,,,,,,,,,,,,,,,
274,A530058N18Rik,Gm31610,Mob3b,,,,,,,,,,,,,,,,,,,,,,,,
275,Sox2ot,LOC105244904,Phldb1,,,,,,,,,,,,,,,,,,,,,,,,
276,LOC105242595,A830021M18Rik,Paqr8,,,,,,,,,,,,,,,,,,,,,,,,
277,Ppapdc1a,Gm19410,Abca1,,,,,,,,,,,,,,,,,,,,,,,,
278,Gm12750,Rtn4rl2,Matn4,,,,,,,,,,,,,,,,,,,,,,,,
279,Slc5a7,LOC330133,Slc30a10,,,,,,,,,,,,,,,,,,,,,,,,
280,Gm35324,Gm30687,Jun,,,,,,,,,,,,,,,,,,,,,,,,
281,Gm5607,Ptgs2os,Gm26843,,,,,,,,,,,,,,,,,,,,,,,,
282,Gm35736,Gm35314,Cnn3,,,,,,,,,,,,,,,,,,,,,,,,
283,RP24-112I14.3,Gm26974,Prkd3,,,,,,,,,,,,,,,,,,,,,,,,
284,B130024G19Rik,LOC105244450,Cers2,,,,,,,,,,,,,,,,,,,,,,,,
285,LOC102635502,LOC105244016,Vwa1,,,,,,,,,,,,,,,,,,,,,,,,
286,LOC105243688,Gm35853,Gabrg1,,,,,,,,,,,,,,,,,,,,,,,,
287,Grip1os3,Gpr133,Fads2,,,,,,,,,,,,,,,,,,,,,,,,
288,LOC105245305,Gm35872,Cyp2j6,,,,,,,,,,,,,,,,,,,,,,,,
289,Lppr1,LOC105242578,Suclg2,,,,,,,,,,,,,,,,,,,,,,,,
290,1700030L22Rik,Gm32949,Ctso,,,,,,,,,,,,,,,,,,,,,,,,
291,8030451O07Rik,LOC105244137,Arap1,,,,,,,,,,,,,,,,,,,,,,,,
292,Sall1,Igh,Gprc5b,,,,,,,,,,,,,,,,,,,,,,,,
293,Gm34196,LOC102633724,Psd2,,,,,,,,,,,,,,,,,,,,,,,,
294,LOC105247131,LOC105243541,Lgi4,,,,,,,,,,,,,,,,,,,,,,,,
295,Ch25h,Rorb,Slc6a11,,,,,,,,,,,,,,,,,,,,,,,,
296,Stk32a,Gm34996,Bmp2k,,,,,,,,,,,,,,,,,,,,,,,,
297,Spsb4,Arr3,Atp1b2,,,,,,,,,,,,,,,,,,,,,,,,
298,Gm36549,LOC105246832,Sox2,,,,,,,,,,,,,,,,,,,,,,,,
299,LOC105244192,LOC105244162,Orai1,,,,,,,,,,,,,,,,,,,,,,,,
300,Sfrp2,Krt80,Aldh1l1,,,,,,,,,,,,,,,,,,,,,,,,
301,Btn2a2,LOC102638670,Luzp2,,,,,,,,,,,,,,,,,,,,,,,,
302,Ndst4,Neurod1,Thrsp,,,,,,,,,,,,,,,,,,,,,,,,
303,LOC105245487,Gm30529,Ttc23,,,,,,,,,,,,,,,,,,,,,,,,
304,Ifit1,LOC100861727,Foxo1,,,,,,,,,,,,,,,,,,,,,,,,
305,Wnt7a,8030453O22Rik,E130114P18Rik,,,,,,,,,,,,,,,,,,,,,,,,
306,Cldn1,Obscn,Lpar1,,,,,,,,,,,,,,,,,,,,,,,,
307,Gm1604A,LOC105243158,Fermt2,,,,,,,,,,,,,,,,,,,,,,,,
308,Popdc3,Gm30041,Hacl1,,,,,,,,,,,,,,,,,,,,,,,,
309,BC030867,N28178,Lap3,,,,,,,,,,,,,,,,,,,,,,,,
310,Map3k1,1110018N20Rik,Ostf1,,,,,,,,,,,,,,,,,,,,,,,,
311,LOC102636808,LOC105243200,Npc2,,,,,,,,,,,,,,,,,,,,,,,,
312,Cpne7,Mylk3,Eci1,,,,,,,,,,,,,,,,,,,,,,,,
313,Pcdhgc4,LOC102631735,Pnpla7,,,,,,,,,,,,,,,,,,,,,,,,
314,Lppr3,Bai2,Mif4gd,,,,,,,,,,,,,,,,,,,,,,,,
315,Aldh1l2,Gm42954,Cml1,,,,,,,,,,,,,,,,,,,,,,,,
316,Slc35d3,Lrriq1,Asrgl1,,,,,,,,,,,,,,,,,,,,,,,,
317,Gm31218,Macc1,Psat1,,,,,,,,,,,,,,,,,,,,,,,,
318,AW551984,Tmem40,Acsl3,,,,,,,,,,,,,,,,,,,,,,,,
319,Gm33464,Gm2824,Gpld1,,,,,,,,,,,,,,,,,,,,,,,,
320,Fam150b,LOC105244315,Aff1,,,,,,,,,,,,,,,,,,,,,,,,
321,Ttc39a,Gm26871,Erbb2ip,,,,,,,,,,,,,,,,,,,,,,,,
322,Slc27a2,Lphn2,Fign,,,,,,,,,,,,,,,,,,,,,,,,
323,Klhl14,LOC101056001,Smpdl3a,,,,,,,,,,,,,,,,,,,,,,,,
324,Ddr2,BC061194,Tjp2,,,,,,,,,,,,,,,,,,,,,,,,
325,Atf5,Gm36139,Mcur1,,,,,,,,,,,,,,,,,,,,,,,,
326,Gm4211,Lhx2,Rin2,,,,,,,,,,,,,,,,,,,,,,,,
327,Plppr1,Asb11,Wscd1,,,,,,,,,,,,,,,,,,,,,,,,
328,Alox8,Cd7,Hist1h2bc,,,,,,,,,,,,,,,,,,,,,,,,
329,Nynrin,Ccdc108,Vcl,,,,,,,,,,,,,,,,,,,,,,,,
330,Snrpn,Gm34832,Arhgap24,,,,,,,,,,,,,,,,,,,,,,,,
331,Edn1,Gm32951,Unc13c,,,,,,,,,,,,,,,,,,,,,,,,
332,Atg9b,Rxfp2,Nkain4,,,,,,,,,,,,,,,,,,,,,,,,
333,Cdc42ep5,Zdhhc23,Fam63a,,,,,,,,,,,,,,,,,,,,,,,,
334,Htra1,Fmnl1,Mmd2,,,,,,,,,,,,,,,,,,,,,,,,
335,Pde1c,LOC105243891,Scd2,,,,,,,,,,,,,,,,,,,,,,,,
336,Nrip3,Stox1,Sox8,,,,,,,,,,,,,,,,,,,,,,,,
337,Gm14114,Car10,Tmc7,,,,,,,,,,,,,,,,,,,,,,,,
338,Col19a1,Gm5468,Gpam,,,,,,,,,,,,,,,,,,,,,,,,
339,Trim62,Ccbe1,Map3k1,,,,,,,,,,,,,,,,,,,,,,,,
340,Scg2,2700069I18Rik,Frmd4b,,,,,,,,,,,,,,,,,,,,,,,,
341,Ptchd4,Dnah1,Idh1,,,,,,,,,,,,,,,,,,,,,,,,
342,Gm42950,2900026A02Rik,Prdm5,,,,,,,,,,,,,,,,,,,,,,,,
343,Kat2b,Usp43,Tprkb,,,,,,,,,,,,,,,,,,,,,,,,
344,Cartpt,Myh7,Ilk,,,,,,,,,,,,,,,,,,,,,,,,
345,Xkr8,Pxdn,Gm4221,,,,,,,,,,,,,,,,,,,,,,,,
346,Tnfsf13b,Sla2,Cd81,,,,,,,,,,,,,,,,,,,,,,,,
347,Pbx3,Ccdc129,Smox,,,,,,,,,,,,,,,,,,,,,,,,
348,Prr5,RP24-134N2.1,St6gal1,,,,,,,,,,,,,,,,,,,,,,,,
349,Samd14,Abcc4,Cdh20,,,,,,,,,,,,,,,,,,,,,,,,
350,Arhgap24,Rnf39,Ccnd3,,,,,,,,,,,,,,,,,,,,,,,,
351,Klf3,Nxf7,Phlpp1,,,,,,,,,,,,,,,,,,,,,,,,
352,Lamb1,Spag6,Fam228b,,,,,,,,,,,,,,,,,,,,,,,,
353,Zfp618,Ntng2,Kat2b,,,,,,,,,,,,,,,,,,,,,,,,
354,Tspan2,Palmd,Abhd3,,,,,,,,,,,,,,,,,,,,,,,,
355,Rasl11a,Dapk2,Klhl5,,,,,,,,,,,,,,,,,,,,,,,,
356,Chst7,Sdk2,Ikzf2,,,,,,,,,,,,,,,,,,,,,,,,
357,Elavl2,Gm12576,Pim3,,,,,,,,,,,,,,,,,,,,,,,,
358,Timp3,Coch,Ifi27,,,,,,,,,,,,,,,,,,,,,,,,
359,Inpp5j,Pik3r6,Gnai2,,,,,,,,,,,,,,,,,,,,,,,,
360,Serpinf1,Rbm24,Usp6nl,,,,,,,,,,,,,,,,,,,,,,,,
361,Unc119,Clec18a,Mtus1,,,,,,,,,,,,,,,,,,,,,,,,
362,Zfp608,Panct2,Ptpn13,,,,,,,,,,,,,,,,,,,,,,,,
363,Kctd12,Gsg1l,Lrp10,,,,,,,,,,,,,,,,,,,,,,,,
364,Gpr83,6330403A02Rik,Ly6c1,,,,,,,,,,,,,,,,,,,,,,,,
365,Lima1,Ntn5,Pltp,,,,,,,,,,,,,,,,,,,,,,,,
366,Cdh13,Nwd2,Opalin,,,,,,,,,,,,,,,,,,,,,,,,
367,Id4,4930578G10Rik,Plpp3,,,,,,,,,,,,,,,,,,,,,,,,
368,Camk2n2,Muc15,Txnip,,,,,,,,,,,,,,,,,,,,,,,,
369,Hbegf,C130074G19Rik,Anxa3,,,,,,,,,,,,,,,,,,,,,,,,
370,Arid5a,Adam18,Ppp1r14a,,,,,,,,,,,,,,,,,,,,,,,,
371,Clic4,Sntb2,Ctsh,,,,,,,,,,,,,,,,,,,,,,,,
372,Haus4,Ptpn3,Enpp6,,,,,,,,,,,,,,,,,,,,,,,,
373,Stard13,Fxyd5,Cd82,,,,,,,,,,,,,,,,,,,,,,,,
374,Stk32b,Frmd6,Plxnb3,,,,,,,,,,,,,,,,,,,,,,,,
375,Gm26742,Tom1l1,Tmem63a,,,,,,,,,,,,,,,,,,,,,,,,
376,2610318N02Rik,Nrg1,Lpar6,,,,,,,,,,,,,,,,,,,,,,,,
377,Dleu7,Bmp1,Rhog,,,,,,,,,,,,,,,,,,,,,,,,
378,Gpr161,Slit1,Myrf,,,,,,,,,,,,,,,,,,,,,,,,
379,Crtac1,Vmn2r87,Slco2b1,,,,,,,,,,,,,,,,,,,,,,,,
380,Ankrd34b,Gm15738,Cspg4,,,,,,,,,,,,,,,,,,,,,,,,
381,Pcdh20,Sptbn5,Sec14l5,,,,,,,,,,,,,,,,,,,,,,,,
382,Celf6,Enkur,Pdlim2,,,,,,,,,,,,,,,,,,,,,,,,
383,Mob3b,Dlg1,4930448N21Rik,,,,,,,,,,,,,,,,,,,,,,,,
384,Prkd3,Gm26883,Ebf1,,,,,,,,,,,,,,,,,,,,,,,,
385,Mxra7,Ankrd63,Pdgfra,,,,,,,,,,,,,,,,,,,,,,,,
386,Bcan,Bhlhe22,Chrdl1,,,,,,,,,,,,,,,,,,,,,,,,
387,Vax1,Prdm8,Litaf,,,,,,,,,,,,,,,,,,,,,,,,
388,Pip5k1b,A630023P12Rik,Sorbs3,,,,,,,,,,,,,,,,,,,,,,,,
389,E430024P14Rik,Cmya5,Insc,,,,,,,,,,,,,,,,,,,,,,,,
390,Ppp1r14b,Tiam2,Rasgrp3,,,,,,,,,,,,,,,,,,,,,,,,
391,Dock10,Pdgfc,Prom1,,,,,,,,,,,,,,,,,,,,,,,,
392,Tmem176b,Boc,C030018K13Rik,,,,,,,,,,,,,,,,,,,,,,,,
393,Apbb1ip,Lrrc74b,Gli2,,,,,,,,,,,,,,,,,,,,,,,,
394,Car2,2310075C17Rik,Rhoj,,,,,,,,,,,,,,,,,,,,,,,,
395,Cdh20,Ak4,Nde1,,,,,,,,,,,,,,,,,,,,,,,,
396,Mrpl45,Hcrtr1,Pdgfd,,,,,,,,,,,,,,,,,,,,,,,,
397,B3galt5,Cdh18,Rnf122,,,,,,,,,,,,,,,,,,,,,,,,
398,Myo5b,Schip1,Pros1,,,,,,,,,,,,,,,,,,,,,,,,
399,RP23-291B1.2,Aspg,Pla2g16,,,,,,,,,,,,,,,,,,,,,,,,
400,Prox1os,Tsx,Itm2a,,,,,,,,,,,,,,,,,,,,,,,,
401,LOC102638008,Tmem163,Cpt1a,,,,,,,,,,,,,,,,,,,,,,,,
402,LOC105247066,AI115009,Afap1l2,,,,,,,,,,,,,,,,,,,,,,,,
403,Akr1c18,Etnk2,Gjc2,,,,,,,,,,,,,,,,,,,,,,,,
404,Gm12120,Pou3f2,Adora2b,,,,,,,,,,,,,,,,,,,,,,,,
405,Myl1,Clic5,Gltp,,,,,,,,,,,,,,,,,,,,,,,,
406,RP23-474J16.2,Kcnj6,Carhsp1,,,,,,,,,,,,,,,,,,,,,,,,
407,Aqp5,Fhad1,Fli1,,,,,,,,,,,,,,,,,,,,,,,,
408,Plpp4,Plaur,Prkcd,,,,,,,,,,,,,,,,,,,,,,,,
409,Chat,Wisp1,Apobec3,,,,,,,,,,,,,,,,,,,,,,,,
410,Gm5916,Gpr88,Dock6,,,,,,,,,,,,,,,,,,,,,,,,
411,9630002D21Rik,5730508B09Rik,Nrarp,,,,,,,,,,,,,,,,,,,,,,,,
412,Gm34199,Tspan11,Ucp2,,,,,,,,,,,,,,,,,,,,,,,,
413,Slc18a3,C2cd4b,Glis3,,,,,,,,,,,,,,,,,,,,,,,,
414,Trim67,Susd2,Padi2,,,,,,,,,,,,,,,,,,,,,,,,
415,Gad1os,Lemd1,Tmem176a,,,,,,,,,,,,,,,,,,,,,,,,
416,F730043M19Rik,Wnt7b,Cdc14a,,,,,,,,,,,,,,,,,,,,,,,,
417,Gm35614,H60b,Arpc1b,,,,,,,,,,,,,,,,,,,,,,,,
418,Sostdc1,F2rl2,Selenbp1,,,,,,,,,,,,,,,,,,,,,,,,
419,Ostn,Fxyd7,Plekhb1,,,,,,,,,,,,,,,,,,,,,,,,
420,Gm34714,Crip2,Plce1,,,,,,,,,,,,,,,,,,,,,,,,
421,LOC105245304,Vsig2,Plekhg3,,,,,,,,,,,,,,,,,,,,,,,,
422,Gm6551,Galnt9,Pxmp2,,,,,,,,,,,,,,,,,,,,,,,,
423,Gm3134,Gcnt4,Nupr1,,,,,,,,,,,,,,,,,,,,,,,,
424,Gm26902,Enc1,Parvb,,,,,,,,,,,,,,,,,,,,,,,,
425,LOC105243294,1700001L19Rik,Prr5,,,,,,,,,,,,,,,,,,,,,,,,
426,Ppap2c,Afap1l1,Fabp7,,,,,,,,,,,,,,,,,,,,,,,,
427,LOC105245295,Antxr1,BC028528,,,,,,,,,,,,,,,,,,,,,,,,
428,Edaradd,Amigo2,Slc8b1,,,,,,,,,,,,,,,,,,,,,,,,
429,Gm31465,Tle4,Myl12a,,,,,,,,,,,,,,,,,,,,,,,,
430,Tmem132cos,Lrrc55,Tst,,,,,,,,,,,,,,,,,,,,,,,,
